,0
498,2011.84947967
499,2011.84961631
500,2011.84963213
501,2011.85025225
502,2011.85089485
503,2011.85127448
504,2011.85237243
505,2011.852407
506,2011.85423383
507,2011.85618075
508,2011.85654687
509,2011.85666454
510,2011.85851719
511,2011.86247958
512,2011.86316346
513,2011.86320596
514,2011.86378173
515,2011.86678352
516,2011.86687443
517,2011.86695957
518,2011.86912424
519,2011.8705877999998
520,2011.87082696
521,2011.87121122
522,2011.8713417
523,2011.87457607
524,2011.87573681
525,2011.87593392
526,2011.88016099
527,2011.8803294
528,2011.88560509
529,2011.88604094
530,2011.88853954
531,2011.8901563000002
532,2011.89830873
533,2011.90093021
534,2011.90093186
535,2011.90107398
536,2011.90284523
537,2011.90474896
538,2011.90546506
539,2011.91065934
540,2011.91130752
541,2011.91569552
542,2011.92108486
543,2011.92112849
544,2011.92399946
545,2011.93890189
546,2011.94706951
547,2011.95011025
548,2011.98244042
549,2011.99770586
550,2011.99818737
551,2012.00152436
552,2012.00162293
553,2012.00550474
554,2012.006711
555,2012.00960626
556,2012.01412186
557,2012.0221807
558,2012.02478746
559,2012.02853661
560,2012.04345151
561,2012.0452465
562,2012.07152673
563,2012.07781914
564,2012.10297033
565,2012.10493226
566,2012.10599676
567,2012.13187702
568,2012.13347785
569,2012.1421344999999
570,2012.15405988
571,2012.15588788
572,2012.16374602
573,2012.17039352
574,2012.18366281
575,2012.18933901
576,2012.18968522
577,2012.23111974
578,2012.24725672
579,2012.25495978
580,2012.25652699
581,2012.26415541
582,2012.27094379
583,2012.28007375
584,2012.28501815
585,2012.290551
586,2012.29127005
587,2012.30473098
588,2012.31769464
589,2012.32265941
590,2012.32983078
591,2012.3496232999998
592,2012.34963418
593,2012.35760951
594,2012.35845066
595,2012.35881932
596,2012.36555125
597,2012.36557042
598,2012.40306726
599,2012.44881149
600,2012.44883912
601,2012.44980191
602,2012.45067648
603,2012.45314296
604,2012.50040035
605,2012.50457578
606,2012.51189818
607,2012.51744026
608,2012.57749513
609,2012.57873235
610,2012.57903916
611,2012.58106342
612,2012.58465234
613,2012.58822711
614,2012.59624336
615,2012.59958985
616,2012.60916787
617,2012.6288141
618,2012.6469574999999
619,2012.65186779
620,2012.67111769
621,2012.68875013
622,2012.74809746
623,2012.7481015
624,2012.77149574
625,2012.77466941
626,2012.79288606
627,2012.80450108
628,2012.82286082
629,2012.82693044
630,2012.82990893
631,2012.83341043
632,2012.86323612
633,2012.87759746
634,2012.88739593
635,2012.88887893
636,2012.90819318
637,2012.92263766
638,2012.92346953
639,2012.93546069
640,2012.94575412
641,2012.94747457
642,2012.95819315
643,2013.00132844
644,2013.00844622
645,2013.02183904
646,2013.02660949
647,2013.04183141
648,2013.04347739
649,2013.0439373
650,2013.04863386
651,2013.04866039
652,2013.05751287
653,2013.08715088
654,2013.08809849
655,2013.11251009
656,2013.11677492
657,2013.13183811
658,2013.15343554
659,2013.1575915999997
660,2013.15843077
661,2013.17104814
662,2013.17744466
663,2013.18654221
664,2013.19052096
665,2013.1910432
666,2013.20498326
667,2013.21671195
668,2013.21825855
669,2013.21833064
670,2013.22249451
671,2013.23020251
672,2013.23538063
673,2013.25485657
674,2013.25900381
675,2013.26666431
676,2013.27868779
677,2013.28844258
678,2013.28846365
679,2013.28849982
680,2013.28850212
681,2013.28851716
682,2013.28857047
683,2013.28860577
684,2013.28870612
685,2013.28884491
686,2013.28885172
687,2013.28894993
688,2013.28898759
689,2013.2890247999999
690,2013.2895147999998
691,2013.2895230999998
692,2013.28958159
693,2013.28958875
694,2013.28962581
695,2013.28962905
696,2013.28982591
697,2013.28984454
698,2013.28987775
699,2013.29007435
700,2013.2901662000002
701,2013.29055189
702,2013.29173744
703,2013.29182647
704,2013.29211619
705,2013.29228625
706,2013.29233453
707,2013.29683755
708,2013.29757702
709,2013.29802144
710,2013.29901354
711,2013.30014442
712,2013.3041103
713,2013.30908291
714,2013.31165215
715,2013.31220425
716,2013.31289699
717,2013.31671222
718,2013.32011882
719,2013.32014445
720,2013.32090316
721,2013.32259456
722,2013.35237436
723,2013.36836778
724,2013.37962919
725,2013.3810247000001
726,2013.38487083
727,2013.38496773
728,2013.38802172
729,2013.39755438
730,2013.40091008
731,2013.40780079
732,2013.41142784
733,2013.41224615
734,2013.4169665
735,2013.42703946
736,2013.43092176
737,2013.43643938
738,2013.44091423
739,2013.44220066
740,2013.44315029
741,2013.44546847
742,2013.44567297
743,2013.45187456
744,2013.45572417
745,2013.45614507
746,2013.45658075
747,2013.45686129
748,2013.45737265
749,2013.45819784
750,2013.45829341
751,2013.4617253
752,2013.46402902
753,2013.47935279
754,2013.48459064
755,2013.48486121
756,2013.4850039
757,2013.48590427
758,2013.48662338
759,2013.4904999000003
760,2013.49348548
761,2013.49422879
762,2013.49451117
763,2013.4947015
764,2013.49684056
765,2013.49693994
766,2013.49701613
767,2013.49723409
768,2013.49763064
769,2013.49927917
770,2013.50098063
771,2013.51012246
772,2013.51559386
773,2013.5186827999999
774,2013.53302676
775,2013.53316215
776,2013.53610219
777,2013.53645409
778,2013.56025891
779,2013.56252003
780,2013.56265612
781,2013.5694514000002
782,2013.5699862999998
783,2013.57839349
784,2013.57980078
785,2013.58093411
786,2013.58112516
787,2013.5903816
788,2013.59387721
789,2013.6007949999998
790,2013.60259072
791,2013.60259987
792,2013.60264382
793,2013.60647727
794,2013.61127811
795,2013.61556109
796,2013.61556262
797,2013.6172675
798,2013.66698216
799,2013.66719851
800,2013.67773507
801,2013.68342115
802,2013.68704576
803,2013.70479116
804,2013.7151729000002
805,2013.71653953
806,2013.71848932
807,2013.7225505
808,2013.72381408
809,2013.72499229
810,2013.72736048
811,2013.72745531
812,2013.7275263000001
813,2013.72761877
814,2013.73485008
815,2013.74889352
816,2013.74891651
817,2013.75016411
818,2013.75062538
819,2013.75075889
820,2013.753044
821,2013.75377067
822,2013.75896782
823,2013.7597257
824,2013.76751145
825,2013.76835684
826,2013.7686270999998
