,0
532,3.4
533,2.5
534,3.4
535,3.4
536,2.4
537,1.4
538,3.1
539,2.7
540,2.7
541,2.7
542,3.3
543,2.3
544,2.3
545,3.0
546,2.5
547,2.5
548,3.6
549,2.2
550,3.6
551,2.8
552,2.8
553,2.4
554,3.4
555,2.0
556,2.9
557,2.8
558,2.1
559,1.8
560,2.1
561,3.0
562,2.5
563,2.7
564,3.3
565,2.5
566,2.8
567,2.6
568,2.9
569,2.9
570,2.9
571,2.8
572,3.0
573,2.6
574,2.9
575,2.4
576,3.1
577,2.5
578,3.3
579,4.1
580,2.5
581,3.1
582,2.6
583,3.1
584,3.0
585,3.8
586,2.6
587,3.2
588,2.3
589,3.1
590,3.2
591,2.5
592,2.6
593,3.8
594,3.2
595,2.8
596,2.2
597,2.9
598,2.5
599,3.3
600,2.8
601,2.5
602,3.1
603,3.1
604,2.7
605,3.2
606,2.6
607,2.7
608,2.9
609,3.4
610,2.5
611,3.1
612,2.5
613,2.3
614,2.8
615,3.0
616,2.4
617,3.3
618,2.6
619,2.6
620,2.4
621,3.4
622,3.0
623,2.7
624,3.3
625,2.9
626,3.2
627,3.4
628,3.3
629,2.2
630,2.7
631,2.5
632,2.8
633,3.0
634,2.7
635,2.5
636,2.0
637,2.5
638,2.5
639,2.6
640,3.1
641,3.0
642,3.1
643,2.6
644,3.5
645,2.9
646,2.3
647,3.2
648,3.2
649,2.8
650,2.3
651,2.0
652,2.3
653,2.1
654,2.7
655,2.5
656,2.5
657,2.6
658,2.1
659,2.5
660,3.5
661,3.5
662,3.4
663,2.3
664,2.5
665,3.2
666,3.0
667,2.3
668,3.3
669,3.2
670,2.9
671,2.2
672,2.4
673,2.8
674,2.5
675,2.8
676,2.5
677,2.9
678,4.4
679,3.0
680,3.6
681,2.5
682,2.6
683,2.7
684,2.6
685,4.2
686,3.3
687,2.5
688,2.5
689,2.8
690,2.5
691,2.8
692,3.5
693,3.3
694,3.7
695,3.3
696,2.7
697,2.6
698,2.6
699,3.3
700,3.6
701,3.4
702,2.9
703,2.8
704,3.2
705,3.2
706,3.2
707,2.0
708,2.2
709,2.8
710,2.5
711,2.2
712,3.0
713,3.1
714,3.3
715,3.0
716,3.0
717,2.3
718,3.4
719,2.7
720,3.5
721,2.2
722,2.5
723,2.6
724,2.7
725,3.2
726,2.6
727,2.9
728,2.5
729,2.2
730,3.2
731,2.9
732,2.3
733,2.9
734,2.8
735,2.8
736,3.0
737,3.7
738,3.3
739,2.5
740,2.6
741,2.8
742,2.8
743,2.7
744,3.1
745,3.0
746,2.7
747,3.6
748,3.2
749,2.5
750,3.3
751,3.2
752,2.6
753,3.2
754,3.0
755,2.7
756,3.4
757,2.8
758,2.8
759,1.7
760,3.0
761,2.0
762,2.6
763,2.5
764,3.2
765,3.5
766,2.2
767,2.9
768,2.7
769,2.6
770,2.6
771,2.7
772,2.7
773,2.5
774,2.5
775,2.8
776,2.8
777,1.9
778,3.5
779,2.0
780,1.9
781,3.3
782,2.5
783,3.0
784,2.9
785,2.3
786,3.0
787,2.6
788,2.3
789,3.3
790,2.8
791,3.2
792,2.9
793,3.3
794,1.6
795,2.7
796,2.6
797,2.7
798,2.1
799,2.6
800,2.2
801,2.2
802,2.9
803,3.1
804,2.7
805,2.7
806,2.7
807,2.8
808,2.8
809,2.6
810,3.2
811,2.6
812,2.9
813,3.4
814,3.2
815,2.9
816,2.5
817,3.2
818,3.1
819,3.5
820,2.8
821,2.9
822,2.9
823,3.3
824,2.6
825,3.2
826,2.7
827,2.9
828,2.7
829,2.5
830,2.1
831,2.2
832,3.0
833,2.5
834,2.7
835,2.5
836,2.7
837,2.9
838,2.5
839,3.1
840,2.8
841,2.9
842,2.8
843,2.4
844,3.0
845,2.5
846,2.7
847,2.6
848,2.2
849,3.5
850,2.9
851,2.8
852,3.2
853,3.4
854,2.7
855,3.0
856,2.6
857,2.5
858,3.3
859,2.5
860,2.4
861,2.0
862,3.8
863,2.5
864,3.2
865,2.1
866,2.6
867,3.3
868,3.3
869,2.4
870,2.6
871,2.2
872,2.5
873,2.3
874,2.5
875,3.5
876,2.3
877,2.1
878,1.9
879,1.9
880,2.3
881,2.4
882,3.2
883,2.1
884,3.3
885,1.6
886,3.4
887,2.2
888,3.2
889,2.7
890,2.3
891,1.9
892,2.2
893,2.7
894,2.4
895,2.2
896,3.0
897,2.6
898,2.5
899,2.7
900,2.5
901,2.1
902,2.8
903,2.4
904,2.8
905,3.2
906,1.9
907,2.0
908,3.6
909,2.9
910,2.2
911,2.5
912,3.0
913,3.0
914,2.4
915,2.2
916,2.3
917,2.5
918,2.6
919,2.6
920,3.0
921,1.9
922,3.2
923,3.1
924,2.4
925,2.0
926,2.8
927,2.7
928,3.1
929,4.5
930,3.0
931,2.5
932,3.2
933,3.3
934,2.6
935,1.9
936,2.3
937,2.9
938,1.8
939,2.3
940,2.5
941,2.4
942,2.6
943,2.8
944,2.5
945,2.6
946,2.1
